wave_l,mcp_l,pip_l,wave_r,mcp_r,pip_r,box_size,box_mass,box_mu_s,force_setpoint,time_step,seed,tag,outcome,held,slip_time,drift_final,rot_drift_final,f1_L,f2_L,f3_L,rho_L,grip_force_L,f1_R,f2_R,f3_R,rho_R,grip_force_R,q_L_Wave,q_L_MCP,q_L_PIP,q_L_DIP,q_R_Wave,q_R_MCP,q_R_PIP,q_R_DIP,cond_id,wave_deg,pip_deg,mcp_solved_deg,probe_idx,repeat
0.1308996938995747,-0.013747237546989026,0.06981317007977318,-0.1308996938995747,-0.013747237546989026,0.06981317007977318,0.025,0.12,1.0,2.5,0.002,0,sweepA,drop,False,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2618061329183949,1.0111609052105919,0.024964338672714574,0.022428049125620454,-0.2618070093350421,0.9734187309322034,0.02567943034418444,0.02307254260648884,w+07.5_p+04.0_m120,7.5,4.0,-0.7876586914062499,0,0
0.1308996938995747,-0.013747237546989026,0.06981317007977318,-0.1308996938995747,-0.013747237546989026,0.06981317007977318,0.025,0.12,1.0,2.5,0.002,1,sweepA,drop,False,,0.16711838920944852,2.7856624707893243,0.7312300332787551,0.01368899208097179,0.5209364293063833,1327.1767148846163,0.9088141940429778,0.7859115074826672,0.38048428446583155,-0.5025457450979903,5262.3558321331575,1.0614140227300175,0.18443605177975367,0.45831904799514783,-0.03877506860804151,-0.05203126473948476,0.04694326218897027,0.3826531057404349,-0.03693956777045613,-0.050474648767729585,w+07.5_p+04.0_m120,7.5,4.0,-0.7876586914062499,0,1
0.2617993877991494,0.0809121602387874,-0.08726646259971647,-0.2617993877991494,0.0809121602387874,-0.08726646259971647,0.025,0.12,1.0,2.5,0.002,0,sweepA,no_grasp,False,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2415692091889929,0.06859973813726232,-0.08726604323121644,-0.08726575236274019,-0.24152671244242635,0.06839421645913711,-0.08726607727665928,-0.08726578613242508,w+15.0_p-05.0_m120,15.0,-5.0,4.635925292968749,0,0
0.2617993877991494,0.0809121602387874,-0.08726646259971647,-0.2617993877991494,0.0809121602387874,-0.08726646259971647,0.025,0.12,1.0,2.5,0.002,1,sweepA,no_grasp,False,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24156899293506448,0.06838658024758558,-0.08726606072408938,-0.08726575228950506,-0.24152671525469474,0.06828384094993784,-0.08726608414353215,-0.0872657841532629,w+15.0_p-05.0_m120,15.0,-5.0,4.635925292968749,0,1
0.2617993877991494,0.05163869353663643,-0.03490658503988659,-0.2617993877991494,0.05163869353663643,-0.03490658503988659,0.025,0.03,1.0,2.5,0.002,0,sweepA,no_grasp,False,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24156501552182305,0.06707680683801054,-0.07995441852686783,-0.08211662778850556,-0.24152641746971013,0.06677110679208928,-0.08026738291738533,-0.08257824308175198,w+15.0_p-02.0_m030,15.0,-2.0,2.95867919921875,0,0
0.2617993877991494,0.05163869353663643,-0.03490658503988659,-0.2617993877991494,0.05163869353663643,-0.03490658503988659,0.025,0.03,1.0,2.5,0.002,1,sweepA,no_grasp,False,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24156482307316585,0.06677873636702591,-0.08001335269934501,-0.08213970278689053,-0.24152630384056376,0.06665638958182632,-0.0801513481173341,-0.08234218472532362,w+15.0_p-02.0_m030,15.0,-2.0,2.95867919921875,0,1
0.2617993877991494,0.05163869353663643,-0.03490658503988659,-0.2617993877991494,0.05163869353663643,-0.03490658503988659,0.025,0.06,1.0,2.5,0.002,0,sweepA,no_grasp,False,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24156466220068157,0.0664650076650996,-0.08021136947711222,-0.08238404825993488,-0.24152604381339626,0.06620129995159801,-0.08048457117850133,-0.08278689490628002,w+15.0_p-02.0_m060,15.0,-2.0,2.95867919921875,0,0
0.2617993877991494,0.05163869353663643,-0.03490658503988659,-0.2617993877991494,0.05163869353663643,-0.03490658503988659,0.025,0.06,1.0,2.5,0.002,1,sweepA,no_grasp,False,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2415645021829145,0.0662086805808132,-0.08025034744878978,-0.0823832920744157,-0.24152592424099484,0.06608600830506722,-0.08038861274704961,-0.08258619058326945,w+15.0_p-02.0_m060,15.0,-2.0,2.95867919921875,0,1
0.2617993877991494,0.05163869353663643,-0.03490658503988659,-0.2617993877991494,0.05163869353663643,-0.03490658503988659,0.025,0.12,1.0,2.5,0.002,0,sweepA,no_grasp,False,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24156447201088224,0.06614411306641776,-0.08034730478896182,-0.082527068032424,-0.2415258420829147,0.06592341086605795,-0.08057946929984953,-0.08286920530774061,w+15.0_p-02.0_m120,15.0,-2.0,2.95867919921875,0,0
0.2617993877991494,0.05163869353663643,-0.03490658503988659,-0.2617993877991494,0.05163869353663643,-0.03490658503988659,0.025,0.12,1.0,2.5,0.002,1,sweepA,no_grasp,False,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2415643343356934,0.06592902486360024,-0.08036659304961824,-0.08250276239671914,-0.24152572047261742,0.06580608781002595,-0.0805050392595667,-0.08270592581876361,w+15.0_p-02.0_m120,15.0,-2.0,2.95867919921875,0,1
0.1308996938995747,-0.0577852693325393,0.13962634015954636,-0.1308996938995747,-0.0577852693325393,0.13962634015954636,0.025,0.06,1.0,2.5,0.002,0,sweepA,drop,False,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.261807922195998,1.0759742054295676,0.09147021512366796,0.08866524589374293,0.2618048274048562,0.8726362147065281,0.09614433508109864,0.0934904986774029,w+07.5_p+08.0_m060,7.5,8.0,-3.3108520507812496,0,0
0.1308996938995747,-0.0577852693325393,0.13962634015954636,-0.1308996938995747,-0.0577852693325393,0.13962634015954636,0.025,0.06,1.0,2.5,0.002,1,sweepA,drop,False,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.26180619093489776,0.9927175829994356,0.09326576659487369,0.09055301026503262,-0.2618074932060259,0.9955532942594928,0.09289729430207791,0.09004884243732067,w+07.5_p+08.0_m060,7.5,8.0,-3.3108520507812496,0,1
0.1308996938995747,-0.07966580084863033,0.17453292519943295,-0.1308996938995747,-0.07966580084863033,0.17453292519943295,0.025,0.12,1.0,2.5,0.002,0,sweepA,drop,False,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.26180750983518775,1.0161079733405811,0.1267763850462297,0.12395093421427378,-0.2618084408814924,0.9835532234270968,0.12718050273984519,0.12426053389462947,w+07.5_p+10.0_m120,7.5,10.0,-4.56451416015625,0,0
0.1308996938995747,-0.07966580084863033,0.17453292519943295,-0.1308996938995747,-0.07966580084863033,0.17453292519943295,0.025,0.12,1.0,2.5,0.002,1,sweepA,drop,False,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.26180626340958596,1.0032300173373088,0.1270543935738854,0.12424557364019148,-0.2618073712243317,0.9845535326928058,0.12716383228580164,0.12424543626106518,w+07.5_p+10.0_m120,7.5,10.0,-4.56451416015625,0,1
0.1308996938995747,-0.07966580084863033,0.17453292519943295,-0.1308996938995747,-0.07966580084863033,0.17453292519943295,0.025,0.03,1.0,2.5,0.002,0,sweepA,drop,False,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.26180699317865563,0.9995879797506978,0.12712803945502413,0.1243209648058854,-0.2618082665763813,0.9970737394614202,0.12688367184136426,0.12394880932244885,w+07.5_p+10.0_m030,7.5,10.0,-4.56451416015625,0,0
0.1308996938995747,-0.07966580084863033,0.17453292519943295,-0.1308996938995747,-0.07966580084863033,0.17453292519943295,0.025,0.03,1.0,2.5,0.002,1,sweepA,drop,False,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2618096237459866,1.1272134040888258,0.12474051248443334,0.12181335123567871,0.26180491598856437,0.776104613449329,0.1327189127247111,0.13009404429031352,w+07.5_p+10.0_m030,7.5,10.0,-4.56451416015625,0,1
