cond_id,wave_deg,pip_deg,mcp_solved_deg,mass,gap,tilt_deg,f_star,n_trials,n_no_grasp,wall_s
w+07.5_p-05.0_m030,7.5,-5.0,4.635925292968749,0.03,0.024000883248571175,0.0930236506112746,0.3362347388638881,18,10,705.7950184345245
w+00.0_p+04.0_m120,0.0,4.0,-0.7876586914062499,0.12,0.024000022927292405,0.5403763510775818,,4,0,1239.2217571735382
w+00.0_p+08.0_m030,0.0,8.0,-3.3108520507812496,0.03,0.02400051428155386,0.8019991396371862,0.1791492662403853,18,0,929.9774067401886
w+00.0_p+10.0_m030,0.0,10.0,-4.56451416015625,0.03,0.024000122966779797,0.44723282864425706,0.1791492662403853,18,0,979.8193807601929
w+00.0_p+06.0_m060,0.0,6.0,-2.0510864257812504,0.06,0.024000376051778977,0.8698304880826092,0.4211476756561676,18,0,1328.9518287181854
w+00.0_p+04.0_m060,0.0,4.0,-0.7876586914062499,0.06,0.024000022927292405,0.5403763510775818,0.4404715567291463,18,0,1452.7374017238617
w+00.0_p+08.0_m060,0.0,8.0,-3.3108520507812496,0.06,0.02400051428155386,0.8019991396371862,0.3599500963648965,18,0,1108.8385198116302
w+07.5_p+00.0_m120,7.5,0.0,1.7449951171875,0.12,0.024000152297465268,0.7617923415005601,,4,0,223.20170974731445
w+00.0_p+06.0_m120,0.0,6.0,-2.0510864257812504,0.12,0.024000376051778977,0.8698304880826092,,4,0,1284.7933394908905
w+07.5_p+02.0_m120,7.5,2.0,0.47698974609375006,0.12,0.024000912986205894,0.8151291370549079,,4,0,237.45688891410828
w+00.0_p+08.0_m120,0.0,8.0,-3.3108520507812496,0.12,0.02400051428155386,0.8019991396371862,,4,0,1279.502209186554
w+07.5_p+04.0_m120,7.5,4.0,-0.7876586914062499,0.12,0.024000022927292378,0.5403763510775818,,4,0,247.10298943519592
w+07.5_p+00.0_m030,7.5,0.0,1.7449951171875,0.03,0.024000152297465268,0.7617923415005601,0.1984059244137899,18,0,766.9165408611298
w+00.0_p+10.0_m120,0.0,10.0,-4.56451416015625,0.12,0.024000122966779797,0.44723282864425706,,4,0,1288.9284446239471
w+07.5_p+06.0_m120,7.5,6.0,-2.0510864257812504,0.12,0.024000376051778977,0.8698304880826092,,4,0,260.52034640312195
w+07.5_p-02.0_m060,7.5,-2.0,2.95867919921875,0.06,0.024000368925789068,0.8741993659602783,0.17957614598556143,18,0,1050.8077173233032
w+07.5_p-02.0_m030,7.5,-2.0,2.95867919921875,0.03,0.024000368925789068,0.8741993659602783,0.1731550516631511,18,0,1115.0202195644379
w+07.5_p+02.0_m030,7.5,2.0,0.47698974609375006,0.03,0.024000912986205894,0.8151291370549079,0.1853509862184311,18,0,742.5278158187866
w+07.5_p+08.0_m120,7.5,8.0,-3.3108520507812496,0.12,0.024000514281553906,0.8019991396371862,,4,0,275.65654730796814
w+00.0_p+10.0_m060,0.0,10.0,-4.56451416015625,0.06,0.024000122966779797,0.44723282864425706,,6,0,1694.6652863025665
w+07.5_p+04.0_m030,7.5,4.0,-0.7876586914062499,0.03,0.024000022927292378,0.5403763510775818,0.1791492662403853,18,0,770.7076630592346
w+07.5_p+10.0_m120,7.5,10.0,-4.56451416015625,0.12,0.02400012296677988,0.44723282864425706,,4,0,285.6697335243225
w+07.5_p+00.0_m060,7.5,0.0,1.7449951171875,0.06,0.024000152297465268,0.7617923415005601,0.5270498739419475,18,0,1118.6842877864838
w+15.0_p-05.0_m120,15.0,-5.0,4.635925292968749,0.12,0.024000883248571244,0.0930236506112746,,4,1,277.93209624290466
w+07.5_p+06.0_m030,7.5,6.0,-2.0510864257812504,0.03,0.024000376051778977,0.8698304880826092,0.1791492662403853,18,0,915.7801620960236
w+07.5_p+04.0_m060,7.5,4.0,-0.7876586914062499,0.06,0.024000022927292378,0.5403763510775818,0.4211476756561676,18,0,1024.7423648834229
w+15.0_p-05.0_m030,15.0,-5.0,4.635925292968749,0.03,0.024000883248571244,0.0930236506112746,0.44145,18,12,556.2337033748627
w+07.5_p+02.0_m060,7.5,2.0,0.47698974609375006,0.06,0.024000912986205894,0.8151291370549079,0.48181996476807587,18,0,1245.0823969841003
w+15.0_p+00.0_m120,15.0,0.0,1.7449951171875,0.12,0.024000152297465292,0.7617923415005601,,4,0,210.30895733833313
w+07.5_p+08.0_m030,7.5,8.0,-3.3108520507812496,0.03,0.024000514281553906,0.8019991396371862,0.1791492662403853,18,0,988.1201417446136
w+07.5_p+08.0_m060,7.5,8.0,-3.3108520507812496,0.06,0.024000514281553906,0.8019991396371862,0.3599500963648965,18,0,996.0810961723328
w+15.0_p-02.0_m120,15.0,-2.0,2.95867919921875,0.12,0.02400036892578904,0.8741993659602783,,4,0,398.6044955253601
w+15.0_p-05.0_m060,15.0,-5.0,4.635925292968749,0.06,0.024000883248571244,0.0930236506112746,0.8829,18,12,736.2796313762665
w+07.5_p+10.0_m030,7.5,10.0,-4.56451416015625,0.03,0.02400012296677988,0.44723282864425706,0.17612666025127918,18,0,940.7793598175049
w+07.5_p+06.0_m060,7.5,6.0,-2.0510864257812504,0.06,0.024000376051778977,0.8698304880826092,0.40267155052569636,18,0,1241.9481999874115
w+15.0_p+00.0_m030,15.0,0.0,1.7449951171875,0.03,0.024000152297465292,0.7617923415005601,0.19176739493896103,18,0,369.6544032096863
w+15.0_p+02.0_m030,15.0,2.0,0.47698974609375006,0.03,0.024000912986205894,0.8151291370549079,0.1853509862184311,18,0,414.4354681968689
w+15.0_p+02.0_m120,15.0,2.0,0.47698974609375006,0.12,0.024000912986205894,0.8151291370549079,,4,0,132.84566521644592
w+15.0_p+00.0_m060,15.0,0.0,1.7449951171875,0.06,0.024000152297465292,0.7617923415005601,0.48181996476807587,18,0,599.6562240123749
w+07.5_p+10.0_m060,7.5,10.0,-4.56451416015625,0.06,0.02400012296677988,0.44723282864425706,0.3599500963648965,18,0,605.3159747123718
w+15.0_p-02.0_m030,15.0,-2.0,2.95867919921875,0.03,0.02400036892578904,0.8741993659602783,0.15111782576581484,18,0,640.0423493385315
w+15.0_p-02.0_m060,15.0,-2.0,2.95867919921875,0.06,0.02400036892578904,0.8741993659602783,0.17957614598556143,18,0,647.552050113678
w+15.0_p+04.0_m120,15.0,4.0,-0.7876586914062499,0.12,0.024000022927292336,0.5403763510775818,,4,0,143.1586184501648
